timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519294752845073,-9,-9,-7,-4,-10,-6,-7,-6
1519294752845073,11,11,7,4,13,10,6,9
1519294752860420,12,14,3,9,12,12,9,9
1519294752860420,-13,-13,-3,-17,-14,-11,-11,-11
1519294752868448,6,7,4,7,13,5,3,4
1519294752868448,3,5,5,3,8,8,4,2
1519294752875496,-7,-9,-3,0,0,-4,-6,-4
1519294752875496,2,1,-5,-7,-1,-3,2,0
1519294752882716,-5,-5,-3,0,1,-4,-3,-5
1519294752882716,9,8,7,8,1,7,6,7
1519294752905089,-8,-7,-10,-6,-8,-6,-7,-6
1519294752905089,-11,-12,-13,-13,-15,-9,-8,-9
1519294752913144,11,11,4,8,14,8,8,7
1519294752913144,-11,-10,6,1,-8,-8,-7,-9
1519294752927898,3,2,-3,-7,-5,1,1,1
1519294752927898,9,11,5,15,13,11,7,6
1519294752935918,-7,-9,-6,-7,-11,-7,-7,-4
1519294752935918,5,7,1,-3,-6,2,4,3
1519294752943249,-7,-6,2,-1,8,-5,-3,-5
1519294752943249,9,5,3,6,5,7,4,6
1519294752958216,11,13,12,-11,-7,7,8,9
1519294752958216,-10,-12,-13,-2,-6,-5,-5,-8
1519294752965302,-1,-6,-9,-6,-5,-2,-1,-2
1519294752965302,5,7,9,10,7,5,1,3
1519294752987477,-9,-12,-10,-9,-12,-7,-8,-7
1519294752987477,9,11,10,6,7,4,4,8
1519294752995498,-4,-4,-6,-1,-2,-4,-1,-2
1519294752995498,5,3,-5,1,-4,6,2,4
1519294753002517,-3,-1,13,-15,-7,-4,-1,-2
1519294753002517,-11,-12,-8,-8,-5,-12,-8,-10
1519294753010538,15,14,8,7,7,13,10,11
1519294753010538,-11,-14,-12,-9,-7,-9,-7,-7
1519294753025763,-4,-7,-7,-3,18,-4,-3,-4
1519294753025763,8,7,8,16,0,2,4,6
1519294753032598,-9,-11,-11,-4,-4,-7,-9,-7
1519294753032598,8,9,12,10,4,5,5,5
1519294753040803,-2,0,0,-6,-9,1,0,0
1519294753040803,2,0,-5,-14,-5,-2,0,0
1519294753047656,0,-1,2,7,11,5,2,-2
1519294753047656,-11,-11,-9,-10,-12,-13,-8,-8
1519294753055821,17,19,18,0,9,10,9,11
1519294753055821,-11,-12,-12,-1,-8,-7,-9,-7
1519294753062944,-8,-7,-2,-12,-13,-8,-5,-4
1519294753062944,10,9,-1,7,18,15,8,9
1519294753078025,-9,-9,4,11,-24,-14,-7,-9
1519294753078025,5,5,5,5,7,5,6,3
1519294753085252,0,0,-3,-18,-4,-2,0,0
1519294753085252,-5,-9,-7,-3,-7,-5,-4,-5
1519294753100143,5,5,-2,12,26,3,4,2
1519294753100143,-7,-7,-7,-15,-1,-1,-5,-6
1519294753107350,13,13,12,17,3,12,9,9
1519294753107350,-11,-8,0,14,-18,-16,-6,-7
1519294753115256,-10,-11,-14,-7,-12,-6,-7,-7
1519294753115256,10,12,17,19,9,9,8,8
1519294753122140,-10,-13,-16,-28,-6,-7,-8,-8
1519294753122140,6,6,5,-8,3,4,3,5
1519294753137213,0,-1,-2,13,11,2,2,1
1519294753137213,-4,-6,2,-7,-10,-2,-4,-4
1519294753145234,3,7,5,15,4,1,2,3
